loc_nombre,loc_cpostal,prv_nombre
20 De Febrero,4425,Salta
Ablome,4421,Salta
Abra Del Gallo,4411,Salta
Abra Grande,4530,Salta
Acambuco,4568,Salta
Acazoque,4411,Salta
Acharas,4434,Salta
Acosta,4425,Salta
Acoyte,4651,Salta
Agua Negra,4415,Salta
Agua Sucia,4449,Salta
Agua Verde,4561,Salta
Aguaray,4566,Salta
Aguas Blancas,4530,Salta
Aguas Blancas,4531,Salta
Aguas Calientes,4430,Salta
Aguas Calientes,4190,Salta
Aguas Muertas,4535,Salta
Alejo De Alberro,4407,Salta
Alem,4126,Salta
Alemania,4425,Salta
Alfarcito,4409,Salta
Algarrobal,4452,Salta
Algarrobal,4430,Salta
Algarrobal,4534,Salta
Algarrobal,4535,Salta
Algarrobal Viejo,4446,Salta
Almirante Brown,4193,Salta
Almona,4421,Salta
Alto Alegre,4449,Salta
Alto De La Sierra,4561,Salta
Alto Del Mistol,4446,Salta
Alto Verde,4535,Salta
Altos Hornos Guemes,4432,Salta
Amaicha,4419,Salta
Amberes,4561,Salta
Amblayo,4425,Salta
Ampascachi,4421,Salta
Ampata,4415,Salta
Angastaco,4427,Salta
Angel Peredo,4533,Salta
Angelica,4533,Salta
Angosto Pescado,4651,Salta
Angostura,4560,Salta
Angostura,4419,Salta
Angostura,4415,Salta
Animana,4427,Salta
Anta,4434,Salta
Antilla,4193,Salta
Antonio Alice,4401,Salta
Antonio Quijarro,4552,Salta
Apolinario Saravia,4449,Salta
Arbol Solo,4534,Salta
Arenal,4560,Salta
Arenal,4198,Salta
Arenales,4535,Salta
Arita,4449,Salta
Arjuntas,4430,Salta
Arrocero Italiano,4444,Salta
Astillero,4633,Salta
Atocha,4401,Salta
Atudillo,4415,Salta
Cuesta Azul,4651,Salta
Baños Termales,4190,Salta
Bacoya,4644,Salta
Bajada,4190,Salta
Bajada Blanca,4193,Salta
Bajada De Cavi,4198,Salta
Bajada Grande,4198,Salta
Bajo Grande,4446,Salta
Bajo Grande Desvio Fcgb,4444,Salta
Balboa,4193,Salta
Balbuena,4561,Salta
Balderrama,4440,Salta
Ballenal,4405,Salta
Banda Grande,4419,Salta
Baradero,4126,Salta
Barbayasco,4190,Salta
Baritu,4651,Salta
Barrealito,4449,Salta
Barrial,4427,Salta
Barrio La Loma,4560,Salta
Barrio Parabolica,4417,Salta
Barrio San Antonio,4560,Salta
Barrio San Cayetano,4560,Salta
Barro Negro,4415,Salta
Belgrano,4400,Salta
Belgrano Fortin 2,4535,Salta
Bella Vista,4423,Salta
Bella Vista,4421,Salta
Bella Vista,4535,Salta
Bella Vista,4193,Salta
Betania,4432,Salta
Bodeguita,4425,Salta
Brealito,4419,Salta
Buen Lugar,4550,Salta
Buena Fe,4561,Salta
Buena Vista,4415,Salta
Buena Vista,4400,Salta
Buena Vista,4427,Salta
Burro Yaco,4419,Salta
Cañada De La Junta,4193,Salta
Cañadon De Las Juntas,4193,Salta
Cabeza De Anta,4193,Salta
Cabeza De Buey,4434,Salta
Cabra Corral Dique,4421,Salta
Cachi,4417,Salta
Cachi Adentro,4417,Salta
Cachiñal,4409,Salta
Cacho Molino,4421,Salta
Cafayate,4427,Salta
Caipe,4413,Salta
Caldera,4401,Salta
Calderilla,4401,Salta
Calvimonte,4421,Salta
Camara,4198,Salta
Camara,4405,Salta
Caminera San Pedrito,4563,Salta
Campamento Tablilla,4563,Salta
Campamento Vespucio,4563,Salta
Campichuelo,4552,Salta
Campo Alegre,4449,Salta
Campo Alegre,4423,Salta
Campo Alegre,4440,Salta
Campo Argentino,4535,Salta
Campo Azul,4440,Salta
Campo Caseros,4400,Salta
Campo Duran,4566,Salta
Campo Largo,4554,Salta
Campo Libre,4554,Salta
Campo Quijano,4407,Salta
Campo Santo,4432,Salta
Cancillar,4633,Salta
Cangrejillos,4415,Salta
Cantera Del Sauce,4432,Salta
Capiazutti,4560,Salta
Capilla Fuerte,4651,Salta
Capitan Juan Page,4554,Salta
Carabajal,4405,Salta
Carahuasi,4425,Salta
Carapari,4560,Salta
Carreras,4434,Salta
Casa Grande,4633,Salta
Castañares,4425,Salta
Castellanos,4401,Salta
Cauchari,4413,Salta
Cebados,4403,Salta
Ceibal,4126,Salta
Ceibalito,4446,Salta
Cerrillos,4403,Salta
Cerro Alemania,4425,Salta
Cerro Bayo,4409,Salta
Cerro Bravo,4419,Salta
Cerro Colorado,4193,Salta
Cerro De La Zorra Vieja,4419,Salta
Cerro Del Agua De La Falda,4419,Salta
Cerro Mal Canto,4415,Salta
Cerro Negro,4193,Salta
Cerro Negro,4190,Salta
Cevilar,4425,Salta
Chañar,4633,Salta
Chañar Aguada,4193,Salta
Chañar Muyo,4446,Salta
Chacar,4633,Salta
Chachapoyas,4400,Salta
Chachas,4413,Salta
Chacra Experimental,4430,Salta
Chaguaral,4537,Salta
Chamical,4400,Salta
Chicoana,4423,Salta
Chicoana,4419,Salta
